50136  122.37   53.47   296.0   73.23
50137  122.37   53.47   296.0   71.78
50246  124.72   52.35   361.9   71.87
50247  123.57   52.03   514.5   69.00
50349  124.33   51.70   494.6   73.03
50353  126.65   51.72   177.4   75.39
50425  120.18   50.25   581.4   74.80
50431  121.52   50.78   979.9   75.17
50434  121.68   50.48   732.6   75.17
50442  124.12   50.40   371.7   71.86
50445  123.73   50.58   423.7   73.67
50468  127.45   50.25   166.4   71.60
50514  117.43   49.57   661.7   75.87
50524  119.43   49.32   576.6   75.80
50525  119.75   49.15   620.8   75.83
50526  120.70   49.28   668.8   76.90
50527  119.75   49.22   610.2   78.97
50548  123.72   49.20   286.1   72.93
50557  125.23   49.17   242.2   74.00
50564  127.35   49.43   234.5   70.17
50566  128.47   49.58   111.9   75.07
50603  116.82   48.67   554.2   76.20
50618  118.27   48.22   642.0   78.93
50632  121.92   48.77   739.7   68.37
50639  122.73   48.00   306.5   64.83
50645  124.48   48.47   192.0   72.37
50646  124.85   48.48   202.8   75.95
50647  123.48   48.12   218.2   70.57
50655  126.18   48.50   271.8   76.37
50656  126.52   48.28   269.7   76.57
50658  125.88   48.05   236.9   75.35
50659  126.25   48.03   294.0   75.52
50673  130.40   48.88    90.4   79.97
50674  129.43   48.57   404.5   81.09
50727  119.95   47.17  1026.5   76.40
50739  123.18   47.33   190.0   70.46
50741  123.50   47.93   185.2   67.71
50742  124.48   47.80   162.7   76.58
50745  123.92   47.38   145.9   74.27
50749  124.83   47.18   154.0   73.67
50750  125.30   47.90   218.4   75.46
50755  126.10   47.60   230.7   80.49
50756  126.97   47.43   239.2   79.95
50758  125.90   47.17   249.2   77.44
50767  127.10   47.23   202.7   77.38
50772  129.25   48.12   296.5   79.76
50774  128.90   47.72   231.3   79.59
50775  130.33   47.37   227.9   70.81
50776  130.83   47.57    83.3   69.50
50778  132.50   47.65    53.6   76.98
50779  134.28   48.37    66.6   73.58
50787  131.85   47.28    61.8   76.01
50788  131.98   47.23    64.2   74.38
50832  122.08   46.72   332.6   68.83
50833  122.90   46.72   187.8   67.50
50834  121.22   46.60   499.7   64.07
50838  122.05   46.08   274.7   59.47
50842  124.43   46.87   151.0   72.31
50844  123.42   46.40   149.5   70.38
50850  125.13   46.57   147.2   63.60
50851  126.10   46.68   204.8   80.46
50852  126.48   46.87   169.1   75.57
50853  126.97   46.62   179.6   76.29
50854  125.32   46.38   149.3   71.35
50858  125.97   46.07   147.2   72.70
50859  126.27   46.25   162.8   81.46
50861  127.48   46.88   184.8   77.73
50862  128.02   46.98   210.5   82.38
50867  127.35   46.08   134.1   78.00
50871  129.88   46.73    95.1   74.10
50873  130.28   46.82    81.2   73.00
50877  129.58   46.30   100.1   78.44
50878  130.72   47.02    78.4   76.73
50879  130.52   46.20   182.4   75.33
50880  131.13   46.72   105.4   68.43
50884  131.15   46.63   175.3   70.30
50888  132.18   46.32    83.0   70.32
50892  134.00   46.80    54.4   73.87
50913  118.80   45.72   865.6   80.43
50915  116.97   45.52   838.7   71.87
50924  119.67   45.53   823.7   67.40
50928  120.33   45.07   628.3   55.47
50934  121.55   45.40   305.3   53.12
50936  122.83   45.63   155.4   66.16
50937  121.47   45.05   249.9   50.83
50939  122.82   45.33   150.8   63.27
50940  123.17   45.85   140.9   68.35
50945  124.27   45.50   137.4   69.07
50946  124.83   45.18   139.7   68.80
50948  124.02   45.00   146.3   68.82
50949  124.83   45.12   134.7   66.33
50950  125.25   45.70   148.7   71.83
50953  126.77   45.75   142.3   75.00
50954  125.08   45.50   127.5   71.20
50955  126.30   45.38   166.4   76.99
50956  126.60   46.00   123.2   78.44
50958  126.95   45.52   174.3   76.33
50960  127.45   45.78   192.2   76.89
50962  128.03   45.95   112.1   76.60
50963  128.73   45.97   108.6   77.37
50964  128.80   45.83   119.0   75.91
50965  128.32   45.45   154.8   78.69
50968  127.97   45.22   189.7   75.53
50971  131.02   45.77   223.5   71.50
50973  130.58   45.75   220.5   68.30
50978  130.95   45.28   233.1   68.56
50979  130.23   45.27   274.7   71.86
50983  132.97   45.77   100.2   72.30
50985  131.87   45.55   151.7   68.70
50987  131.13   45.25   176.0   65.47
51053   86.40   48.05   532.6   74.53
51058   86.62   47.10  1225.2   76.53
51059   85.87   47.43   984.1   71.67
51060   86.87   47.70   473.9   74.41
51068   87.47   47.12   500.9   78.50
51076   88.08   47.73   735.3   76.20
51087   89.52   46.98   807.5   77.77
51133   83.00   46.73   534.9   76.42
51137   82.93   46.20   715.4   76.89
51145   83.65   46.55   521.6   77.83
51156   85.72   46.78  1291.6   71.17
51186   90.38   46.67  1218.2   72.88
51232   82.58   45.18   284.8   83.89
51238   82.07   44.90   531.9   82.47
51241   83.60   45.93  1077.8   74.03
51243   84.85   45.62   449.5   80.21
51288   90.53   45.37  1653.7   59.21
51328   80.42   44.20   770.9   73.47
51329   80.85   44.05   640.0   81.17
51330   81.02   44.97  1354.6   73.90
51334   82.90   44.62   320.1   81.77
51346   84.67   44.43   478.7   82.08
51352   85.25   44.85   337.1   79.30
51353   86.10   45.02   346.0   79.22
51356   86.05   44.32   442.9   83.63
51357   85.62   44.33   522.2   82.13
51358   85.82   44.28   468.2   87.17
51359   86.20   44.32   471.4   83.50
51365   87.53   44.20   440.5   82.90
51367   86.82   44.13   522.1   81.80
51368   87.43   44.02   577.5   85.76
51369   87.65   43.97   600.3   81.53
51377   87.92   44.17   547.0   83.43
51378   89.17   44.02   734.9   82.18
51379   89.57   44.02   793.5   74.01
51430   81.15   43.83   602.6   81.50
51431   81.33   43.95   662.5   77.13
51433   82.57   43.80  1105.2   76.44
51434   81.53   43.97   770.0   74.17
51435   82.23   43.47   774.9   79.37
51436   83.30   43.45   928.2   69.07
51437   81.13   43.15  1851.0   68.68
51438   81.77   43.18  1210.4   71.67
51463   87.62   43.78   917.9   76.87
51465   87.10   43.57  2160.0   61.53
51467   86.33   42.67  1752.5   45.93
51468   86.83   43.10  3539.0   48.80
51469   87.12   43.28  2350.4   46.22
51470   88.12   43.88  1942.5   60.07
51477   88.32   43.35  1103.5   64.40
51482   90.28   43.83  1271.5   61.14
51495   91.63   43.48   873.2   55.61
51526   88.22   42.23   922.4   66.23
51542   84.15   43.03  2458.0   80.67
51559   86.40   42.32  1100.9   73.83
51567   86.57   42.08  1055.8   77.57
51568   86.80   42.25  1085.4   76.23
51571   88.63   42.80     1.0   65.75
51572   89.25   42.83   -48.7   60.90
51573   89.20   42.93    34.5   62.00
51581   90.23   42.85   398.6   64.20
51627   79.23   41.22  1395.8   74.62
51628   80.23   41.17  1103.8   68.29
51629   80.23   41.27  1132.0   70.60
51633   81.90   41.78  1229.2   77.63
51636   82.62   41.53  1013.7   73.90
51639   82.78   41.23   980.4   67.00
51642   84.25   41.78   976.1   70.53
51644   82.95   41.72  1099.0   72.04
51655   86.27   41.35   884.9   68.30
51656   86.13   41.75   931.5   71.62
51701   75.40   40.52  3504.4   57.83
51704   76.17   39.72  1297.9   61.62
51705   75.25   39.72  2175.7   62.23
51707   76.73   39.50  1208.6   65.42
51708   75.95   39.15  1324.3   74.53
51709   75.98   39.47  1288.7   69.32
51711   78.45   40.93  1984.9   52.03
