50136  122.37   53.47   296.0  -30.11  -20.92
50137  122.37   53.47   296.0  -29.23  -22.40
50246  124.72   52.35   361.9  -27.72  -19.33
50247  123.57   52.03   514.5  -31.07  -20.90
50349  124.33   51.70   494.6  -28.18  -18.39
50353  126.65   51.72   177.4  -30.60  -23.16
50425  120.18   50.25   581.4  -28.58  -23.75
50431  121.52   50.78   979.9  -29.14  -21.26
50434  121.68   50.48   732.6  -29.81  -20.77
50442  124.12   50.40   371.7  -23.96  -17.24
50445  123.73   50.58   423.7  -24.03  -16.85
50468  127.45   50.25   166.4  -25.61  -18.32
50514  117.43   49.57   661.7  -24.66  -18.19
50524  119.43   49.32   576.6  -26.23  -20.15
50525  119.75   49.15   620.8  -24.73  -20.08
50526  120.70   49.28   668.8  -26.77  -21.31
50527  119.75   49.22   610.2  -24.82  -21.40
50548  123.72   49.20   286.1  -25.11  -16.29
50557  125.23   49.17   242.2  -24.71  -18.73
50564  127.35   49.43   234.5  -23.91  -16.70
50566  128.47   49.58   111.9  -26.42  -19.55
50603  116.82   48.67   554.2  -21.93  -16.80
50618  118.27   48.22   642.0  -22.95  -18.66
50632  121.92   48.77   739.7  -21.02  -16.18
50639  122.73   48.00   306.5  -17.83  -12.64
50645  124.48   48.47   192.0  -23.62  -16.64
50646  124.85   48.48   202.8  -24.09  -17.05
50647  123.48   48.12   218.2  -19.76  -13.69
50655  126.18   48.50   271.8  -25.63  -18.06
50656  126.52   48.28   269.7  -24.88  -18.03
50658  125.88   48.05   236.9  -22.02  -17.13
50659  126.25   48.03   294.0  -21.26  -16.82
50673  130.40   48.88    90.4  -28.86  -19.80
50674  129.43   48.57   404.5  -26.03  -16.44
50727  119.95   47.17  1026.5  -23.88  -17.41
50739  123.18   47.33   190.0  -18.94  -13.53
50741  123.50   47.93   185.2  -19.05  -14.04
50742  124.48   47.80   162.7  -21.83  -15.14
50745  123.92   47.38   145.9  -19.17  -13.93
50749  124.83   47.18   154.0  -20.41  -14.96
50750  125.30   47.90   218.4  -22.58  -16.51
50755  126.10   47.60   230.7  -23.00  -16.27
50756  126.97   47.43   239.2  -24.21  -18.20
50758  125.90   47.17   249.2  -21.83  -16.27
50767  127.10   47.23   202.7  -22.07  -16.79
50772  129.25   48.12   296.5  -24.93  -15.97
50774  128.90   47.72   231.3  -23.88  -15.78
50775  130.33   47.37   227.9  -19.71  -12.76
50776  130.83   47.57    83.3  -20.18  -14.25
50778  132.50   47.65    53.6  -21.18  -15.88
50779  134.28   48.37    66.6  -19.93  -15.93
50787  131.85   47.28    61.8  -19.70  -15.01
50788  131.98   47.23    64.2  -20.24  -15.73
50832  122.08   46.72   332.6  -18.31  -11.13
50833  122.90   46.72   187.8  -17.72  -12.02
50834  121.22   46.60   499.7  -17.59  -10.86
50838  122.05   46.08   274.7  -15.56   -9.94
50842  124.43   46.87   151.0  -18.83  -14.05
50844  123.42   46.40   149.5  -19.58  -12.28
50850  125.13   46.57   147.2  -16.68  -12.72
50851  126.10   46.68   204.8  -21.04  -15.15
50852  126.48   46.87   169.1  -21.63  -15.54
50853  126.97   46.62   179.6  -20.57  -15.23
50854  125.32   46.38   149.3  -20.14  -13.37
50858  125.97   46.07   147.2  -21.48  -14.40
50859  126.27   46.25   162.8  -19.41  -14.28
50861  127.48   46.88   184.8  -22.29  -15.75
50862  128.02   46.98   210.5  -24.20  -16.32
50867  127.35   46.08   134.1  -22.21  -14.84
50871  129.88   46.73    95.1  -19.84  -14.00
50873  130.28   46.82    81.2  -19.33  -13.26
50877  129.58   46.30   100.1  -19.46  -13.43
50878  130.72   47.02    78.4  -19.88  -14.01
50879  130.52   46.20   182.4  -18.41  -13.88
50880  131.13   46.72   105.4  -17.38  -12.61
50884  131.15   46.63   175.3  -16.60  -12.79
50888  132.18   46.32    83.0  -17.84  -13.13
50892  134.00   46.80    54.4  -21.19  -15.26
50913  118.80   45.72   865.6  -21.84  -15.25
50915  116.97   45.52   838.7  -19.04  -13.05
50924  119.67   45.53   823.7  -19.02  -13.50
50928  120.33   45.07   628.3  -15.69   -9.79
50934  121.55   45.40   305.3  -14.18   -8.94
50936  122.83   45.63   155.4  -16.87  -10.51
50937  121.47   45.05   249.9  -13.19   -8.35
50939  122.82   45.33   150.8  -16.19   -9.99
50940  123.17   45.85   140.9  -17.46  -11.35
50945  124.27   45.50   137.4  -17.12  -11.52
50946  124.83   45.18   139.7  -16.36  -10.83
50948  124.02   45.00   146.3  -16.04  -10.48
50949  124.83   45.12   134.7  -16.82  -10.65
50950  125.25   45.70   148.7  -19.92  -12.76
50953  126.77   45.75   142.3  -18.52  -13.04
50954  125.08   45.50   127.5  -17.89  -11.86
50955  126.30   45.38   166.4  -18.10  -12.61
50956  126.60   46.00   123.2  -18.90  -13.30
50958  126.95   45.52   174.3  -18.88  -13.17
50960  127.45   45.78   192.2  -19.01  -12.57
50962  128.03   45.95   112.1  -23.18  -14.66
50963  128.73   45.97   108.6  -21.65  -14.77
50964  128.80   45.83   119.0  -19.14  -14.03
50965  128.32   45.45   154.8  -21.22  -13.38
50968  127.97   45.22   189.7  -19.35  -12.76
50971  131.02   45.77   223.5  -15.99  -11.81
50973  130.58   45.75   220.5  -16.88  -12.39
50978  130.95   45.28   233.1  -16.23  -11.65
50979  130.23   45.27   274.7  -18.40  -11.57
50983  132.97   45.77   100.2  -18.11  -13.70
50985  131.87   45.55   151.7  -16.92  -12.60
50987  131.13   45.25   176.0  -15.90  -10.73
51053   86.40   48.05   532.6  -12.55   -9.08
51058   86.62   47.10  1225.2  -11.88   -6.98
51059   85.87   47.43   984.1  -10.56   -6.29
51060   86.87   47.70   473.9  -13.67   -9.66
51068   87.47   47.12   500.9  -15.18  -11.21
51076   88.08   47.73   735.3  -13.69   -8.17
51087   89.52   46.98   807.5  -16.79  -10.00
51133   83.00   46.73   534.9   -8.33   -3.51
51137   82.93   46.20   715.4   -8.92   -2.43
51145   83.65   46.55   521.6   -9.66   -4.57
51156   85.72   46.78  1291.6  -11.40   -6.01
51186   90.38   46.67  1218.2  -19.62  -11.69
51232   82.58   45.18   284.8  -13.00   -9.82
51238   82.07   44.90   531.9  -13.73   -8.19
51241   83.60   45.93  1077.8   -8.95   -3.58
51243   84.85   45.62   449.5  -13.33  -10.18
51288   90.53   45.37  1653.7  -10.50   -5.41
51328   80.42   44.20   770.9   -4.66   -0.51
51329   80.85   44.05   640.0   -6.54   -1.27
51330   81.02   44.97  1354.6  -11.85   -4.78
51334   82.90   44.62   320.1  -12.92   -8.94
51346   84.67   44.43   478.7  -12.73   -8.61
51352   85.25   44.85   337.1  -14.65  -10.56
51353   86.10   45.02   346.0  -15.75  -11.43
51356   86.05   44.32   442.9  -13.39   -8.93
51357   85.62   44.33   522.2  -13.16   -8.87
51358   85.82   44.28   468.2  -13.84   -9.08
51359   86.20   44.32   471.4  -14.43   -8.93
